标题,物品类型,博物馆编号,描述,发现地点,材料,尺寸,位置,获取名称,获取日期,部门,登记号,链接,图片URL
abacus,abacus,"As,SLMisc.594","Abacus (with 17 rows of beads, divided by cross-bar carrying Chinese characters) made of wood, metal.","Found/Acquired: China
Asia: China",wood | metal,Height: Height: 11.10 centimetres | Weight: Weight: 219 grammes | Width: Width: 27.10 centimetres | Depth: Depth: 1.70 centimetres,Not on display,Bequeathed by: Sir Hans Sloane,1753,Asia,"As,SLMisc.594",https://www.britishmuseum.org/collection/object/A_As-SLMisc-594,https://media.britishmuseum.org/media/Repository/Documents/2014_11/8_16/89558d3e_8ff0_4d9e_a70d_a3dd0109768d/mid_01381496_001.jpg
abacus,abacus,"2019,4106.1","Abacus, in wood and metal. With brand-name label.","Found/Acquired: China (Purchased in China in 1985)
Asia: China",wood | metal,Length: Length: 22 centimetres,Not on display,Donated by: Helen Wang,2019,Money and Medals,"2019,4106.1",https://www.britishmuseum.org/collection/object/C_2019-4106-1,无图片
abacus,abacus,"1909,0611.1","Porcelain abacus frame with underglaze blue decoration. This 'suan pan' [abacus] is rectangular and stands on four L-shaped feet. It has raised walls around the outer edges and is divided internally by a horizontal wall 3 cm down from the top. Holes have been pierced through this wall and semi-pierced through the top and bottom walls. Originally vertical rods on…
View more
about description","Found/Acquired: China
Asia: China",porcelain,Height: Height: 4 centimetres | Length: Length: 25.20 centimetres | Width: Width: 13.80 centimetres,Not on display,Donated by: Edward Dillon,1909,Asia,"1909,0611.1",https://www.britishmuseum.org/collection/object/A_1909-0611-1,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_21/92f5acb3_23fb_48f7_b417_a3ba0162a371/mid_00264386_001.jpg
acroterion,acroterion,MAS.1073,Architectural ornament (acroterion) made of stucco. The ornament has a roughly triangular shape with with an incised design of spirals on either side of a central line. These are set within a plain border. Traces of green pigments are still visible.,"Excavated/Findspot: Ming-oi
Asia: China: Xinjiang (autonomous region): Karashahr: Ming-oi",stucco,Height: Height: 6.80 centimetres | Width: Width: 10.80 centimetres,Not on display,未找到,1917,Asia,MAS.1073,https://www.britishmuseum.org/collection/object/A_MAS-1073,https://media.britishmuseum.org/media/Repository/Documents/2014_11/4_16/2acb8627_cd62_4eea_b263_a3d9010d5ef9/mid_01172915_001.jpg
admission-ticket,admission-ticket,"2009,4182.4","Entry ticket for races at Macau; pale green cardboard, shield shaped, with white string. (whole)(whole) | Horse racing emblem to top left, inscription below in Portuguese and Chinese. (obverse)(obverse) | Inscription in Portuguese and Chinese. (reverse)(reverse)",未找到,cardboard,Length: Length: 59 millimetres (widest)(widest) | Width: Width: 61 (widest)(widest),Not on display,Donated by: Arthur Marsh Phillips,2009,Money and Medals,"2009,4182.4",https://www.britishmuseum.org/collection/object/C_2009-4182-4,无图片
admission-ticket,admission-ticket,"2015,4094.2",Admission-ticket to Beijing Book Fair 1999,"Found/Acquired: Beijing (city)
Asia: China: Beijing (municipality): Beijing (city)",paper,未找到,Not on display,Donated by: Michael Rank,2015,Money and Medals,"2015,4094.2",https://www.britishmuseum.org/collection/object/C_2015-4094-2,无图片
admission-ticket,admission-ticket,"2015,4055.1","Admission-ticket for the Yonghegong Temple, Beijing.
Front: line drawing of Yonghegong Temple printed in gold. Inscription in seal script, printed in black. On green background.
Back: instructions for use, printed in black. Stamp impression of Yonghegong Temple, in red. White card background.","Found/Acquired: Beijing (city) (1980s)
Asia: China: Beijing (municipality): Beijing (city)",paper,未找到,Not on display,Donated by: Michael Rank,2015,Money and Medals,"2015,4055.1",https://www.britishmuseum.org/collection/object/C_2015-4055-1,无图片
admission-ticket,admission-ticket,"2015,4094.1","Admission-ticket for the Beijing Waxworks. Red on the front, white on the back.","Found/Acquired: Beijing (city)
Asia: China: Beijing (municipality): Beijing (city)",paper,未找到,Not on display,Donated by: Michael Rank,2015,Money and Medals,"2015,4094.1",https://www.britishmuseum.org/collection/object/C_2015-4094-1,无图片
admission-ticket; souvenir,admission-ticket | souvenir,"2014,4004.12","Plastic admission-ticket. Souvenir of a ride on the cable car over the Fragrant Hills (Xiang Shan), Beijing.
Front: the front shows people in cable cars above the red leaves (for which the Fragrant Hills are famous in autumn) the green trees, and a pagoda and buildings.",未找到,plastic,Height: Height: 42 millimetres | Width: Width: 130 millimetres,Not on display,Donated by: Michael Rank,2014,Money and Medals,"2014,4004.12",https://www.britishmuseum.org/collection/object/C_2014-4004-12,https://media.britishmuseum.org/media/Repository/Documents/2014_11/10_7/a999a0b9_7dc1_4efd_b1ce_a3df007fcd6d/mid_01494036_001.jpg
admission-ticket; souvenir,admission-ticket | souvenir,"2014,4004.11","Plastic admission-ticket. Souvenir of a ride on the cable car over the Fragrant Hills (Xiang Shan), Beijing.
The front shows people in cable cars above the red leaves (for which the Fragrant Hills are famous in autumn) the green trees, and the Biyun Si (Temple of the Azure Clouds) in white.",未找到,plastic,Height: Height: 42 millimetres | Width: Width: 130 millimetres,Not on display,Donated by: Michael Rank,2014,Money and Medals,"2014,4004.11",https://www.britishmuseum.org/collection/object/C_2014-4004-11,https://media.britishmuseum.org/media/Repository/Documents/2014_11/10_7/1517b7a1_3b5d_4abd_9541_a3df007fcc54/mid_01494035_001.jpg
admission-ticket; souvenir,admission-ticket | souvenir,"2014,4004.9","Plastic admission-ticket, souvenir of a visit to the Xiantaodong (Fairy Peach Cave) by boat on the Dong Hu (East Lake) in Shaoxing. The ticket shows three people on a boat on the water, appraoching the cave. White background.",未找到,plastic,Height: Height: 94 millimetres | Width: Width: 34 millimetres,Not on display,Donated by: Michael Rank,2014,Money and Medals,"2014,4004.9",https://www.britishmuseum.org/collection/object/C_2014-4004-9,https://media.britishmuseum.org/media/Repository/Documents/2014_11/10_7/883e5063_fe30_4d91_bbc3_a3df007fc9bc/mid_01494033_001.jpg
admission-ticket; souvenir,admission-ticket | souvenir,"2014,4004.10","Plastic admission-ticket. Souvenir of a visit to the Museum of the Terracotta Warriors. Blue background.
Front: two heads of terracotta warriors at left. The museum building at right. Printed in red and gold.
Back: introduction to the museum (in English). Printed in gold.",未找到,plastic,Height: Height: 50 millimetres | Width: Width: 125 millimetres,Not on display,Donated by: Michael Rank,2014,Money and Medals,"2014,4004.10",https://www.britishmuseum.org/collection/object/C_2014-4004-10,https://media.britishmuseum.org/media/Repository/Documents/2014_11/10_7/39da264e_a05c_489d_b6d9_a3df007fcaf5/mid_01494034_001.jpg
adze,adze,"1959,0216.16",Adze. Made of stone.,"Found/Acquired: Buzhaohai
Asia: China: Henan (province): Buzhaohai",stone,Length: Length: 2.25 inches,On display (G33/dc1b/s1)(G33/dc1b/s1),"Exchanged with: Chinese Academy of Sciences, Beijing | Exchanged with: Institute of Archaeology, Beijing",1959,Asia,"1959,0216.16",https://www.britishmuseum.org/collection/object/A_1959-0216-16,https://media.britishmuseum.org/media/Repository/Documents/2014_11/1_3/b3db1707_8c8a_4165_92db_a3d600330396/mid_01048677_001.jpg
adze,adze,"1959,0216.15",Adze. Made of stone.,"Found/Acquired: Buzhaohai
Asia: China: Henan (province): Buzhaohai",stone,Length: Length: 2.50 inches,On display (G33/dc1b/s1)(G33/dc1b/s1),"Exchanged with: Chinese Academy of Sciences, Beijing | Exchanged with: Institute of Archaeology, Beijing",1959,Asia,"1959,0216.15",https://www.britishmuseum.org/collection/object/A_1959-0216-15,https://media.britishmuseum.org/media/Repository/Documents/2014_10/3_7/7c5cd94a_0045_4720_9463_a3b90081f607/mid_00351902_001.jpg
albarello,albarello,Franks.807,"Porcelain albarello jar with underglaze blue decoration. This barrel-shaped albarello jar has a raised double ridge below the rim and above the flared foot. Its belly is painted with a composite flower scroll bordered below with a design of connected U-shapes and above with zigzag lines. The base carries a six-character Tianqi date mark in a double ring in…
View more
about description","Found/Acquired: China
Asia: China",porcelain,Diameter: Diameter: 6.30 centimetres | Height: Height: 5.80 centimetres,Not on display,Donated by: Sir Augustus Wollaston Franks,未找到,Asia,Franks.807,https://www.britishmuseum.org/collection/object/A_Franks-807,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_21/dc8cd806_9bb9_4892_856f_a3ba01619af2/mid_00264110_001.jpg
album; painting,album | painting,"1993,0414,0.1","Album of twelve leaves of landscape paintings. Ink and colour on paper. Leaf 1 and 2 loose folders, 3-12 concertina.",未找到,paper,Height: Height: 34 centimetres (each print;circa)(each print;circa) | Width: Width: 44.40 centimetres (each print;circa)(each print;circa),Not on display,Donated by: Robert Hatfield Ellsworth,1993,Asia,"1993,0414,0.1",https://www.britishmuseum.org/collection/object/A_1993-0414-0-1,无图片
album; painting,album | painting,"1984,0203,0.50.1-12","Album. Rocks, birds, flowers and fruits. Ink and colour on paper. Four leaves by each artist.",未找到,paper,Height: Height: 23.40 centimetres | Width: Width: 19.90 centimetres,Not on display,Bequeathed by: Sir John M Addis,1984,Asia,"1984,0203,0.50.1-12",https://www.britishmuseum.org/collection/object/A_1984-0203-0-50-1-12,https://media.britishmuseum.org/media/Repository/Documents/2014_10/9_16/07d4c89e_cb31_4951_9355_a3bf0109bca5/mid_00526523_001.jpg
album; painting,album | painting,"1991,0204,0.3.1-4","Four album leaves, painted; figures and landscapes in an archaistic style. Painted in ink and colour on paper. Signature, seals, date.",未找到,paper,Height: Height: 34.50 centimetres (No. 3)(No. 3) | Height: Height: 34.40 centimetres (No. 4)(No. 4) | Height: Height: 34.30 centimetres (Nos.1 and 2)(Nos.1 and 2) | Width: Width: 34.20 centimetres (No. 3)(No. 3) | Width: Width: 34.30 centimetres (No. 4)(No. 4) | Width: Width: 34.30 centimetres (Nos. 1 and 2)(Nos. 1 and 2),Not on display,未找到,1991,Asia,"1991,0204,0.3.1-4",https://www.britishmuseum.org/collection/object/A_1991-0204-0-3-1-4,无图片
album; painting,album | painting,"1877,0714,0.1215-1251",Album leaf. Boat. Chinese vessels. Ink on paper (European).,未找到,paper,Height: Height: 46.50 centimetres (album)(album) | Width: Width: 55.80 centimetres (album)(album),Not on display,Donated by: Sarah Maria Reeves,1877,Asia,"1877,0714,0.1215-1251",https://www.britishmuseum.org/collection/object/A_1877-0714-0-1215-1251,https://media.britishmuseum.org/media/Repository/Documents/2016_2/4_15/2bfb5a06_65c7_4bd1_8e02_a5a200fa48c7/1.jpg
album; painting,album | painting,"1993,0814,0.1","Album of figures, landscapes and animals.",未找到,paper,未找到,Not on display,Purchased from: Sotheby's | Purchased through: Sydney L Moss Ltd,1993,Asia,"1993,0814,0.1",https://www.britishmuseum.org/collection/object/A_1993-0814-0-1,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_8/97164a53_0094_4d01_83ba_a3bc008efd66/mid_00395602_001.jpg
album; painting,album | painting,"1877,0512,0.186-194",Album leaf. Figure. Punishments. Colours on paper.,未找到,paper,未找到,Not on display,未找到,1877,Asia,"1877,0512,0.186-194",https://www.britishmuseum.org/collection/object/A_1877-0512-0-186-194,https://media.britishmuseum.org/media/Repository/Documents/2024_9/22_12/b8cc2833_27c5_48e6_8ce2_b1f300cbd0b4/mid_IMG_2055__1_.jpg
album; painting,album | painting,"1877,0512,0.174-185",Album leaf. Ladies and gentlemen. Ink on paper.,未找到,paper,未找到,Not on display,未找到,1877,Asia,"1877,0512,0.174-185",https://www.britishmuseum.org/collection/object/A_1877-0512-0-174-185,https://media.britishmuseum.org/media/Repository/Documents/2014_10/11_19/fa9906a3_354d_4a24_a830_a3c10145ad6b/mid_00696377_001.jpg
album; painting,album | painting,"1993,1225,0.22","Album. Eight leaves. Painting. Ink on paper. Plum, camelia banana leaf and chrysanthemum, lotus, peony Beijing cabbage, Chinese rose and autumn hollyhock.",未找到,paper,Height: Height: 22.50 centimetres (each)(each) | Width: Width: 13.70 centimetres (each)(each),Not on display,Donated by: Robert Hatfield Ellsworth,1993,Asia,"1993,1225,0.22",https://www.britishmuseum.org/collection/object/A_1993-1225-0-22,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_3/a69dc3a8_12ef_436c_86bd_a3bb003cfc7f/mid_00295900_001.jpg
album; painting,album | painting,"1993,0414,0.2","Album of twelve leaves of landscape paintings. Ink and colour on paper. leaf 1-7 concertina, leaf 8-12 loose folder.",未找到,paper,Height: Height: 44.90 centimetres (each leaf)(each leaf) | Width: Width: 33.80 centimetres (each leaf)(each leaf),Not on display,Donated by: Robert Hatfield Ellsworth | In Memory of: Mrs Blanchette Rockefeller III,1993,Asia,"1993,0414,0.2",https://www.britishmuseum.org/collection/object/A_1993-0414-0-2,无图片
album; painting,album | painting,"1983,0604,0.1","Album leaf. History. Narrative of events in the Three Kingdoms, with inscription in Chinese and Manchu. Ink and colour and gold on paper.",未找到,paper,Length: Length: 44.10 centimetres | Width: Width: 43.80 centimetres,Not on display,未找到,1983,Asia,"1983,0604,0.1",https://www.britishmuseum.org/collection/object/A_1983-0604-0-1,https://media.britishmuseum.org/media/Repository/Documents/2014_10/2_21/1120a231_2e12_445a_b4a0_a3b8015f9fa9/mid_00334582_001.jpg
album; painting,album | painting,"1984,0203,0.52",Album. Eight leaves with landscapes. Painted in ink and colours on paper. Seal on every leaf.,未找到,paper,Height: Height: 26.60 centimetres | Width: Width: 34.10 centimetres,Not on display,Bequeathed by: Sir John M Addis,1984,Asia,"1984,0203,0.52",https://www.britishmuseum.org/collection/object/A_1984-0203-0-52,https://media.britishmuseum.org/media/Repository/Documents/2014_10/9_16/eb322965_6a0c_4baa_902a_a3bf0109c20e/mid_00526526_001.jpg
album; calligraphy; painting,album | calligraphy | painting,"1946,0413,0.1.14",Album leaf. Calligraphy. Specimen of Chinese painting.,未找到,未找到,未找到,Not on display,Donated by: Wyndham O Law,1946,Asia,"1946,0413,0.1.14",https://www.britishmuseum.org/collection/object/A_1946-0413-0-1-14,https://media.britishmuseum.org/media/Repository/Documents/2014_10/3_7/2957762f_58f8_4b52_a899_a3b900754b0b/mid_00348076_001.jpg
album; painting,album | painting,"1877,0714,0.758","Small folding album, each painting a double leaf. Landscapes (ink on paper) and flowers (ink and colours on paper).",未找到,paper,Height: Height: 9 centimetres (paintings and album)(paintings and album) | Width: Width: 13.80 centimetres (album)(album) | Width: Width: 17.50 centimetres (each double sheet image)(each double sheet image),Not on display,Donated by: Sarah Maria Reeves,1877,Asia,"1877,0714,0.758",https://www.britishmuseum.org/collection/object/A_1877-0714-0-758,https://media.britishmuseum.org/media/Repository/Documents/2014_10/9_12/e878b34e_02b0_45de_a6ab_a3bf00ce593e/mid_00512343_001.jpg
album; painting,album | painting,"1902,0606,0.52.4",Album leaf. Landscape. Ink and colour on paper.,未找到,paper,Height: Height: 31.60 centimetres | Width: Width: 24.80 centimetres,Not on display,Bequeathed by: Sir Augustus Wollaston Franks,1902,Asia,"1902,0606,0.52.4",https://www.britishmuseum.org/collection/object/A_1902-0606-0-52-4,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/bacd211c_7b58_463f_b207_a3ba00fe8e10/mid_00241424_001.jpg
album; painting,album | painting,"1877,0714,0.755","Folding album. Flower and bamboo, each painting on a double album leaf.Painted in ink and colours on paper.",未找到,paper,Height: Height: 9 centimetres (album and each painting)(album and each painting) | Width: Width: 13.80 centimetres (album)(album) | Width: Width: 17.80 centimetres (each double album sheet)(each double album sheet),Not on display,Donated by: Sarah Maria Reeves,1877,Asia,"1877,0714,0.755",https://www.britishmuseum.org/collection/object/A_1877-0714-0-755,https://media.britishmuseum.org/media/Repository/Documents/2014_10/9_8/953d29c2_ab21_44d6_8ec9_a3bf008cbc3f/mid_00492245_001.jpg
album; painting,album | painting,"1902,0606,0.52.8",Album leaf. Crow on branch. Ink on satin.,未找到,textile,Height: Height: 26 centimetres | Width: Width: 21.70 centimetres,Not on display,Bequeathed by: Sir Augustus Wollaston Franks,1902,Asia,"1902,0606,0.52.8",https://www.britishmuseum.org/collection/object/A_1902-0606-0-52-8,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/9542fbf7_09b8_4cf3_b243_a3ba00fea99d/mid_00241434_001.jpg
album; fan; calligraphy; painting,album | fan | calligraphy | painting,"1993,1225,0.9.a-b",Album leaf. Hexagonal fan. Painted in ink on silk. Inscribed and dated. Landscape and calligraphy.,未找到,paper | silk,Height: Height: 23.50 centimetres | Width: Width: 25 centimetres,Not on display,Donated by: Robert Hatfield Ellsworth,1993,Asia,"1993,1225,0.9.a-b",https://www.britishmuseum.org/collection/object/A_1993-1225-0-9-a-b,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/08b37142_83cb_453f_a58e_a3ba010372e1/mid_00243018_001.jpg
